Input point mass balance file. Row 1 are headers of each column. Column 1 is mass balance year. Column 2 is site name. Column 3 is the date (mm/mm/yyyy) of spring observations.
Column 4 is the date (mm/dd/yyyy) of fall observations. Column 5 is the site elevation (HAE). Column 6 is the specific winter mass balance in combined time system (Mayo and others, 1972).
Column 7 is the specific annual balance in combine time system. Column 8 is the amount of addditional observed ablation between fall and spring visits. Column 9 is the amount of snow which fell between spring and fall visits.
Column 10 is the temperature(C) of the previous summers surface measured in the spring. All mass balance observations are in meters water equivalent mass. If a observation was not made enter NaN.
Final input file must begin with row 1 as seen in the example below.

bal_year	site_name	date_1	date_2	z	winter	net	winter_ablation(-)	summer_accumulation(+)	spring_ss_temp
2013	B	5/5/2013	8/28/2013	1065	1.34	-2.41	0	0	NaN
2013	S	5/5/2013	8/28/2013	1237	2.25	-1.13	0	0	NaN
2013	C	5/6/2013	8/27/2013	1296	2.39	-0.16	0	0	NaN
2013	T	5/9/2013	8/27/2013	1371	2.19	-0.19	0	0	NaN
2013	Y	5/6/2013	8/27/2013	1372	2.83	0.65	0	0	NaN
2014	AU	4/23/2014	9/5/2014	623	-1.14	-7.52	-1.34	0	NaN
2014	N	4/23/2014	9/5/2014	1005	-0.28	-3.73	-1.23	0	NaN
2014	B	4/24/2014	9/5/2014	1064	0.58	-2.71	-0.47	0	NaN
2014	S	4/23/2014	9/5/2014	1236	1.46	-1.25	-0.26	0	NaN
2014	C	4/22/2014	9/3/2014	1295	2.11	0.15	-0.05	0	NaN
2014	T	4/23/2014	9/3/2014	1371	1.8	0.19	-0.2	0	NaN
2014	Y	4/23/2014	9/3/2014	1371	2.32	0.91	-0.2	0	NaN
2015	AU	4/25/2015	9/2/2015	619	-0.58	-7.69	-0.92	0	NaN
2015	N	4/24/2015	9/2/2015	1004	0.84	-2.51	-0.76	0	NaN
2015	B	4/24/2015	9/1/2015	1063	1.02	-2.05	-0.64	0	NaN
2015	S	4/24/2015	9/1/2015	1235	2.27	-0.77	-0.19	0	NaN
2015	C	4/23/2015	9/1/2015	1295	2.45	0.67	-0.17	0	NaN
2015	T	4/23/2015	9/1/2015	1370	2.88	0.74	-0.14	0	NaN
2015	Y	4/23/2015	9/1/2015	1370	3.06	1.4	-0.18	0	NaN
2016	AU	4/25/2016	10/1/2016	615	0.2	NaN	-0.5	NaN	NaN
2016	N	4/25/2016	10/1/2016	1003	1	NaN	-0.4	NaN	NaN
2016	B	4/25/2016	10/1/2016	1062	2	NaN	-0.3	NaN	NaN
2016	S	4/25/2016	10/1/2016	1234	3	NaN	-0.2	NaN	NaN
2016	C	4/25/2016	10/1/2016	1294	4	NaN	-0.1	NaN	NaN
2016	T	4/25/2016	10/1/2016	1369	4	NaN	-0.1	NaN	NaN
2016	Y	4/25/2016	10/1/2016	1369	4	NaN	-0.1	NaN	NaN
